word_id	stanza	loc	position	arabic	close	standard	edclose	variant	note	root	english
79	8	b	2	كَمْكَنُشَ	kamkanusha	kamkanusha	kamkanusha				
35	4	a	2	مَهَرِيٖ	mahariye	mahariye	mahariye				And know that as for her dowry,
7	1	c	1	نَ	na	na	na				and "the Merciful" -- know
12	2	a	1	پُلِكَنِ	pulikani	pulikani	pulikani				Listen, my brothers -- 
5	1	b	2	نَ	na	na	na				
44	5	a	1	عَلِى	'alii	'alii	Ali				When Ali left [the council-place]
81	8	c	2	كَمُؤٗنٖشَ	kamuonesha	kamuonesha	kamuonesha				
2	1	a	2	اللّٰهِ	llähi	llahi					
45	5	a	2	كُتٗكَ	kuṯoka	kutoka	kutoka				
56	5	d	2	هُمْفُمْبِيَ	humfumbiya	humfumbiya	humfumbia				
9	1	c	3	يُوَنِ	yuwani	yuwani	yuwani				
37	4	b	1	نَلٗمْپَ	nalompa	nalompa	nalompa				which I gave her as well, 
58	6	a	2	بِنْتِ	binṯi	binti	binti				
17	2	c	1	نِوَپٖ	niwape	niwape	niwape				(let me give you my story, 
59	6	a	3	رَسُوْلِ	rasūli	rasuli	rasuli				
3	1	a	3	إِخْوَانِ	ikhwāni	ihwani	ikhiwāni				
39	4	c	1	نَلِنَ	nalina	nalina	nalina				I had a ring on my finger,
61	6	b	2	هَيَتَأَمَلِ	hayaṯaamali	hayataamali	hayataamali				
64	6	c	3	عَقِلِ	'aqili	'aqili	akili				
42	4	d	1	كَوَهِ	kawahi	kawahi	kawahi				so I left it with her.
66	6	d	2	أَكَمْوَمْبِيَ	akamwambiya	akamwambiya	akamwambia				
16	2	b	3	يَنْڠُ	yangu	yangu	yangu				
48	5	b	2	رُبَ	ruba	ruba	ruba				
49	5	b	3	مٗيٗ	moyo	moyo	moyo				
34	4	a	1	نَ	na	na	na				
70	7	b	2	أَكَمْوَمْبِيٖ	akamwambiye	akamwambiye	akamwambie				
19	2	c	3	زَنْڠُ	zangu	zangu	zangu				
72	7	c	2	عَليْ	'alı̄	'ali	Ali				
36	4	a	3	يُوَنِ	yuwani	yuwani	yuwani				
6	1	b	3	رَحْمٰنِ	raḥmäni	rahmani	rahamani				
73	7	c	3	أُوٗزٖيْ	uwozee	uwozee	uozee				
50	5	b	4	وَكٖ	wake	wake	wake				
8	1	c	2	الرَّحِيْمُ	rraḥı̄mu	rrahimu	rahimu				
75	7	d	2	هُكِسِكِيَ	hukisikiya	hukisikiya	hukisikia				
83	8	d	2	أَكَمْٹِيَ	akamţiya	akamtiya	akamtia				
11	1	d	2	يَلٗأَنْدَمِيَ	yaloanḏamiya	yaloandamiya	yaloandamia				
84	9	a	1	مْوَنَ	mwana	mwana	Mwana				"Lady, daughter of the Trustworthy One, 
13	2	a	2	نْدُزَنْڠُ	nḏuzangu	nduzangu	nduzangu				
26	3	b	2	نَ	na	na	na				
85	9	a	2	بِنْتِ	binṯi	binti	binti				
14	2	b	1	كهٖنْدَ	kʿenḏa	kenda	kenda				I went on a journey
15	2	b	2	مَتٖمْبٖزِ	maṯembezi	matembezi	matembezi				
18	2	c	2	خَبَرِ	khabari	habari	habari				
21	2	d	2	چَلٗنِجِرِيَ	chalonijiriya	chalonijiriya	chalonijiria				
23	3	a	2	نٖنْدَءٗ	nenḏao	nendao	nendao				
52	5	c	2	كْوَ	kwa	kwa	kwa				
46	5	a	3	كْوَكٖ	kwake	kwake	kwake				
53	5	c	3	مْكٖ	mke	mke	mke				
54	5	c	4	وَكٖ	wake	wake	wake				
68	7	a	2	كِزٖيْ	kizee	kizee	kizee				
63	6	c	2	مْوٖنْيٖ	mwenye	mwenye	mwenye				
77	8	a	2	مْشَوَشَ	mshawasha	mshawasha	mshawasha				
87	9	b	1	هِيٗ	hiyo	hiyo	hiyo				this is true.
213	21	a	1	كِشَ	kisha	kisha	kisha				Then Ali the Lion-like,
244	23	c	3	مْكٖ	mke	mke	mke				
193	19	a	3	نْدُيَنْڠُ	nḏuyangu	nduyangu	nduyangu				
216	21	b	1	نٖنٗ	neno	neno	neno				what he told her [was this:]
204	20	a	2	أَكَتَمْكَ	akaṯamka	akatamka	akaṯamka				
195	19	b	2	رٗحٗ	roḥo	roho	roho				
198	19	c	2	أُوَتٖ	uwaṯe	uwate	uwate				
199	19	c	3	مَتُنْڠُ	maṯungu	matungu	matungu				
202	19	d	3	كُلِيَ	kuliya	kuliya	kulia				
191	19	a	1	وَتَكَ	waṯaka	wataka	wataka				"What do you want, my dear, 
194	19	b	1	نِئِفِدِ	niifiḏi	niifidi	niifidi				that I may save my soul,
222	21	d	2	كُٹْوَلِيَ	kuţwaliya	kutwaliya	kuţwaliya				
197	19	c	1	مٗيٗ	moyo	moyo	moyo				that your heart will leave aside pain, 
200	19	d	1	نَوٖ	nawe	nawe	nawe				so that you will stop crying?"
203	20	a	1	فَتُمَ	faṯuma	fatuma	faṯuma				Fatima replied:
206	20	b	2	يَكٗ	yako	yako	yako				
207	20	b	3	نَئِتَكَ	naiṯaka	naitaka	naiṯaka				
205	20	b	1	پٖٹٖ	peţe	pete	peţe				"I want my ring."
208	20	c	1	عَلِى	'alii	'alii	'alii				Ali was startled --
210	20	d	1	هَؤٗنِ	haoni	haoni	haoni				he could not see what he could tell her.
218	21	c	1	ٰأَنَيٗ	äanayo	aanayo	äanayo				"Abu Bakr has it --
221	21	d	1	تهكْوٖنْدَ	ṯʿkwenḏa	tkwenda	ṯʿkwenḏa				I'll go and fetch it."
223	22	a	1	پٖٹٖ	peţe	pete	peţe				[But Fatima said:] "Your ring is for your finger --
209	20	c	2	أَكَشُٹُكَ	akashuţuka	akashutuka	akashuţuka				
227	22	b	1	أَبُوْ	abuu	abuu	abuu				it will not fit Abu Bakr.
192	19	a	2	نِنِ	nini	nini	nini				
231	22	c	1	نِمٖٹْوَاءَ	nimeţwaa	nimetwaa	nimeţwaa				"I have discovered the real reason
233	22	d	1	كْوَ	kwa	kwa	kwa				for what you told me.
235	23	a	1	هُنُ	hunu	hunu	hunu				"This is the second month [that you haven't been wearing the ring] --
196	19	b	3	يَنْڠُ	yangu	yangu	yangu				
234	22	d	2	أُلِيٗنَمْبِيَ	uliyonambiya	uliyonambiya	uliyonambiya				
211	20	d	2	لَ	la	la	la				
212	20	d	3	كُمْوَمْبِيَ	kumwambiya	kumwambiya	kumwambiya				
201	19	d	2	أُكٗمٖ	ukome	ukome	ukome				
214	21	a	2	عَلِيْ	'alii	'alii	'alii				
215	21	a	3	حَيْدَرِ	ḥayḏari	haydari	ḥayḏari				
224	22	a	2	يَكٗ	yako	yako	yako				
225	22	a	3	يَ	ya	ya	ya				
217	21	b	2	أَلِلٗفَسِرِ	alilofasiri	alilofasiri	alilofasiri				
226	22	a	4	چَنْدَنِ	chanḏani	chandani	chanḏani				
219	21	c	2	ٰإبُوْ	äbuu	abuu	äbuu				
220	21	c	3	بَكِرَِ	bakiria	bakiria	bakiria				
241	23	b	2	سِكُتَأَمَلِ	sikuṯaamali	sikutaamali	sikuṯaamali				
228	22	b	2	بَكَرِ	bakari	bakari	bakari				
229	22	b	3	سِ	si	si	si				
230	22	b	4	كِفَنِ	kifani	kifani	kifani				
232	22	c	2	تَمْكِنِ	ṯamkini	tamkini	ṯamkini				
236	23	a	2	مْوٖزِ	mwezi	mwezi	mwezi				
237	23	a	3	نِ	ni	ni	ni				
238	23	a	4	وَ	wa	wa	wa				
239	23	a	5	پِلِ	pili	pili	pili				
245	23	c	4	وَ	wa	wa	wa				
246	23	c	5	پِلِ	pili	pili	pili				
253	24	b	2	وٖيْ	wee	wee	wee				
254	24	b	3	پْوٖكٖ	pweke	pweke	pweke				
255	24	b	4	مْكٖ	mke	mke	mke				
243	23	c	2	نَ	na	na	na				
250	24	a	2	وَاللّٰهِ	wallähi	wallahi	wallähi				
248	23	d	2	نِمٖسِكِيَ	nimesikiya	nimesikiya	nimesikiya				
251	24	a	3	نْدُيَنْڠُ	nḏuyangu	nduyangu	nḏuyangu				
256	24	b	5	وَنْڠُ	wangu	wangu	wangu				
258	24	c	2	نَنِ	nani	nani	nani				
259	24	c	3	عَدُوِ	'aḏuwi	'aduwi	'aḏuwi				
260	24	c	4	يَنْڠُ	yangu	yangu	yangu				
346	33	c	3	هَئِسِ	haisi	haisi	haisi				
262	24	d	2	أَلٗنِزُلِيَ	alonizuliya	alonizuliya	alonizuliya				
308	29	c	2	كَلِمَ	kalima	kalima	kalima				
291	27	d	2	سِنٗمْوَمْبِيَ	sinomwambiya	sinomwambiya	sinomwambiya				
266	25	b	1	مْٹُيٖ	mţuye	mtuye	mţuye				"I will not name that person.
264	25	a	2	كْوَ	kwa	kwa	kwa				
265	25	a	3	لِسَنِ	lisani	lisani	lisani				
267	25	b	2	سِمْبَئِنِ	simbaini	simbaini	simbaini				
269	25	c	2	أُمْپٖيْ	umpee	umpee	umpee				
270	25	c	3	نَنِ	nani	nani	nani				
293	28	a	2	أَكَؤُذِكَ	akaudhika	akaudhika	akaudhika				
272	25	d	2	تهَرِضِيَ	ṯʿariḍiya	taridhiya	ṯʿariḍiya				
274	26	a	2	أَكَبَئِنِ	akabaini	akabaini	akabaini				
326	31	c	2	سِهِمِلِ	sihimili	sihimili	sihimili				
276	26	b	2	تَمْكِنِ	ṯamkini	tamkini	ṯamkini				
295	28	b	2	كُكَسِرِكَ	kukasirika	kukasirika	kukasirika				
278	26	c	2	كِسِمَنِ	kisimani	kisimani	kisimani				
280	26	d	2	كُكُتٗلٖيَ	kukuṯoleya	kukutoleya	kukuṯoleya				
310	29	d	2	أَكَمْوَمْبِيَ	akamwambiya	akamwambiya	akamwambiya				
297	28	c	2	كَتٗكَ	kaṯoka	katoka	kaṯoka				
282	27	a	2	نٖنَ	nena	nena	nena				
283	27	a	3	پٖٹٖ	peţe	pete	peţe				
284	27	a	4	يَكٗ	yako	yako	yako				
286	27	b	2	أُئِوٖسٖپٗ	uiwesepo	uiwesepo	uiwesepo				
288	27	c	2	هَيَ	haya	haya	haya				
289	27	c	3	مَتَمْكٗ	maṯamko	matamko	maṯamko				
299	28	d	2	كْوَ	kwa	kwa	kwa				
300	28	d	3	نَبِيَ	nabiya	nabiya	nabiya				
312	30	a	2	شَرِيْفُ	sharı̄fu	sharifu	sharı̄fu				
302	29	a	2	هَشِمَ	hashima	hashima	hashima				
320	31	a	2	يَا	yā	ya	yā				
321	31	a	3	رَسُوْلِ	rasūli	rasuli	rasūli				
304	29	b	2	نَ	na	na	na				
305	29	b	3	نِنِ	nini	nini	nini				
306	29	b	4	فَتُمَ	faṯuma	fatuma	faṯuma				
314	30	b	2	مٖنِكَلِفُ	menikalifu	menikalifu	menikalifu				
316	30	c	2	زِسِزٗخٗوْفُ	zisizokhōfu	zisizohofu	zisizokhōfu				
335	32	c	2	مُحَمَدِ	muḥamaḏi	muhamadi	muḥamaḏi				
318	30	d	2	نِمٖمْٹِلِيَ	nimemţiliya	nimemtiliya	nimemţiliya				
323	31	b	2	نِمٖٹٖنْدَ	nimeţenḏa	nimetenda	nimeţenḏa				
324	31	b	3	كْوٖلِ	kweli	kweli	kweli				
330	32	a	2	إٖنٖنْدَ	enenḏa	enenda	enenḏa				
331	32	a	3	سَيِدِ	sayiḏi	sayidi	sayiḏi				
328	31	d	2	زَمٖنِنْڠِيَ	zameningiya	zameningiya	zameningiya				
333	32	b	2	أَبُرُدِ	aburuḏi	aburudi	aburuḏi				
337	32	d	2	كَأَنْدَمَ	kaanḏama	kaandama	kaanḏama				
338	32	d	3	نْدِيَنِ	nḏiyani	ndiyani	nḏiyani				
340	33	a	2	أَكَجِلِسِ	akajilisi	akajilisi	akajilisi				
342	33	b	2	أُنَ	una	una	una				
343	33	b	3	وَسِوَسِ	wasiwasi	wasiwasi	wasiwasi				
345	33	c	2	كَمَ	kama	kama	kama				
263	25	a	1	كَمْجِبُ	kamjibu	kamjibu	kamjibu				She replied with these words:
391	38	b	2	نَ	na	na	na				
392	38	b	3	مُمٖئٗ	mumeo	mumeo	mumeo				
387	38	a	1	يَوَتٖ	yawaṯe	yawate	yawaṯe				"Leave off these words," [he said].
348	33	d	2	كُمْوَنْڠَلِيَ	kumwangaliya	kumwangaliya	kumwangaliya				
390	38	b	1	أُسِٹٖٹٖ	usiţeţe	usitete	usiţeţe				"Don't quarrel with your husband."
376	36	c	2	نْيُمْبَنِ	nyumbani	nyumbani	nyumbani				
393	38	c	1	أَكَرُدِشَ	akaruḏisha	akarudisha	akaruḏisha				And he comforted her,
350	34	a	2	هَشِمِ	hashimi	hashimi	hashimi				
395	38	d	1	فَاطِمَة	fāṭimaẗ	fatimat	fāṭimaẗ				Fatima the Radiant.
352	34	b	2	نَ	na	na	na				
353	34	b	3	نِنِ	nini	nini	nini				
354	34	b	4	فَتُمَ	faṯuma	fatuma	faṯuma				
397	39	a	1	أَكَمْوَمْبِيَ	akamwambiya	akamwambiya	akamwambiya				He told her, "My child, 
378	36	d	2	أُكَمُأَمْكُوَ	ukamuamkuwa	ukamuamkuwa	ukamuamkuwa				
399	39	b	1	أُتَكَپٗ	uṯakapo	utakapo	uṯakapo				if you want my esteem,
356	34	c	2	مٖكُيَ	mekuya	mekuya	mekuya				
357	34	c	3	هِمَ	hima	hima	hima				
411	40	b	1	يَلٖ	yale	yale	yale				weighed those [words] carefully,
402	39	c	1	نِ	ni	ni	ni				this is my advice --
359	34	d	2	كُمْوَنْدَمِيَ	kumwanḏamiya	kumwandamiya	kumwanḏamiya				
409	40	a	2	كْوَكٖ	kwake	kwake	kwake				
406	39	d	1	تُوَ	ṯuwa	tuwa	ṯuwa				you know, if you'll listen to it."
408	40	a	1	كُتٗكَ	kuṯoka	kutoka	kuṯoka				For her part, Fatima
361	35	a	2	هَكُكَسِرِ	hakukasiri	hakukasiri	hakukasiri				
380	37	a	2	فَتُمَ	faṯuma	fatuma	faṯuma				
363	35	b	2	نَشِيْرِ	nashı̄ri	nashiri	nashı̄ri				
418	41	a	1	أَكَمْوَمْبِيَ	akamwambiya	akamwambiya	akamwambiya				She said, "Father,
394	38	c	2	كِلِيٗ	kiliyo	kiliyo	kiliyo				
413	40	c	1	كِشَ	kisha	kisha	kisha				then she spoke some words,
365	35	c	2	نْدَكٖ	nḏake	ndake	nḏake				
366	35	c	3	هَبَرِ	habari	habari	habari				
416	40	d	1	بَبَكٖ	babake	babake	babake				and told her father:
382	37	b	2	هَشِمَ	hashima	hashima	hashima				
420	41	b	1	ٹُنَنِ	ţunani	tunani	ţunani				what quarrel do I have with my husband?
368	35	d	2	نِمٖزِسِكِيَ	nimezisikiya	nimezisikiya	nimezisikiya				
423	41	b	4	وَنْڠُ	wangu	wangu	wangu				[It was] my fault entirely,
370	36	a	2	أَمِيْنِ	amı̄ni	amini	amı̄ni				
427	41	d	1	سِ	si	si	si				and I am not going to continue with it."
